The Anglers, Teddington
The Ash Tree, Ashford, Middlesex
Bel & The Dragon, Churt
The Bear Inn, Oxford
The Bear of Burton, Christchuch
The Bear of Rodborough, Stroud
The Bishop on the Bridge, Winchester
The Blue Boat, Fulham Reach
The Boat, Berkhamsted
The Boater, Bath
The Bull Hotel Bridport
The Bull Inn, Sonning
The Cabbage Patch, Twickenham
The Close Hotel, Tetbury
The Coach & Horses, Soho
The Conductor, Fleet Place, London EC4
The Crown & Sceptre, Shepherd's Bush
The Crystal Palace, Bath
The Drayton Court, West Ealing
The Duke of Kent, Ealing
The Duke of York, Tunbridge Wells
The Fence, Cowcross Street, London EC1
The Flask, Highgate
The Fox & Hounds, Lyndhurst
The Fox & Pelican, Hindhead
The Great Northern Railway, Hornsey
The Grove Lock, Leighton Buzzard
The Half Moon, Herne Hill
The Hare & Hounds, Osterley
The Head of the River, Oxford
The King's Head, Guildford
The King's Head, Wickham
The Links, Liphook
The Lock, Stock & Barrel, Newbury
The Mason's Arms, Battersea
The Mayfly, Stockbridge
The Mill at Elstead, Godalming
The Oak Inn, Bank, Lyndhurst
The Old Custom House, Gunwharf Quay, Portsmouth
The Ox Row, Salisbury
The Paper Mill, Apsley Lock
The Plough Inn, Ealing
The Prince Albert, Twickenham
The Prince Blucher, Twickenham
The Queen's Head, Brook Green
The Red Lion, Barnes
The Red Lion, Chalton
The Rose & Crown, Ealing
The Sail Loft, Greenwich
The Ship Inn, Wokingham
The Ship, Langstone
The Ship, London SE1
The Still & West, Old Portsmouth
The Swan Hotel, Bibury
The Swan Hotel, Staines
The Swan, London EC3
The Tap on the Line, Kew
The Telegraph, London EC2
The Thomas A Becket, Worthing
The Three Guineas, Reading
The Turk's Head, Twickenham
The Union Tavern, Westbourne Park
The Victoria Arms, Binfield
The Vintry, London EC4
The White Buck Inn, Burley
The White Horse, Richmond
The White Horse, Wembley
The White House, Guildford
The Windjammer, Royal Wharf
Ye Olde Mitre, Hatton Garden
The Anchor & Hope, Clapton
The Andover Arms, Hammersmith
The Bear & Swan, Chew Magna
The Beehive, Brentford
The Beehive, Wandsworth
The Beehive, Bedfont
The Beehive, Egham
The Bell, Chearsley
The Bell, Outwood
The Berkeley Arms, Chichester
The Blacksmiths Arms, Surrey Docks
The Brewery Tap, Brentford
The Bridge Inn, Shoreham
The Buckingham Inn, Buckingham
The Bull & Butcher, Akeley
The Carpenters Arms, Bransgore
The Castle, Rowlands Castle
The Cedars, Ryde
The Chairmakers, Hambledon
The Check Inn, Swindon
The Chequers, Chipping Norton
The Chequers, Weston on the Green
The Chequers Inn, Wheeler End
The Coach & Horses, Wallingford
The Coal Exchange, Emsworth
The Cocoanut, Kingston
The Cross Keys, Great Missenden
The Cross Keys, Hammersmith
The Crown, Cuddington
The Crown, Badshot Lea
The Elmer, Middleton on Sea
The Farmer, Catherington
The Farmer's Boy, Kensworth
The Forester, Ealing
The Fox, Basingstoke
The Garibaldi, St Albans
The General Havelock, Wycombe Marsh
The George & Devonshire, Chiswick
The George & Vulture, Hoxton
The Gibraltar Castle, Batford
The Globe, Brentford
The Golden Eagle, Portsmouth
The Good Intent, Petersfield
The Griffin, Brentford
The Harcourt Arms, Oxford
The Hare & Hounds, Sunbury
The Hogarth, Teddington
The Holly Bush, Potter's Crouch, St Albans
The Horse & Jockey, Botley
The Ivy House, Chalfont St. Giles
The Jolly Farmer, Worplesdon
The Kings Arms, Emsworth
The King's Head, Acton
Le De Spencers Arms, Downley Common
The Limeburners, Billingshurst
The Lord Nelson, Brentford
The Lord Raglan, Emsworth
The Marsh Harrier, Cowley
The Miners Arms, Fareham
The Moby Dick, Greenland Dock
The Murrell Arms, Bognor
The Oak, Aston Clinton
The Oak, Stanstead Abbots
The Old Farm Inn, Totternhoe
The Old Hatchet, Windsor
The Old House at Home, Romsey
The Old Plough, Stoke d'Abernon
The Plough Inn, Wingfield
The Plough Inn, Norwood Green
The Pointer, Sandown
The Portland Arms, St Albans
The Post Office Arms, Boxmoor
The Prestonville, Brighton
The Prince Arthur, Windsor
The Prince of Wales, Westcott
The Prince of Wales, Haslemere
The Queen's Head, Dorking
The Queen's Head, Bradfield
The Queen's Head, Cranford
The Railway Tavern, Hungerford
The Red Lion, Ealing
The Red Lion, Fernhurst
The Red Lion, Fareham
The Red Lion , Little Tingewick
The Rising Sun, Isleworth
The Rising Sun, Liphook
The Robin Hood, Tring
The Roebuck, Marlborough
The Royal Oak, Isleworth
The Royal Oak, Guildford
The Royal Oak, Chichester
The Saluation, Hammersmith
The Ship & Bell , Horndean
The Ship & Castle, Portsmouth
The Sir John Barleycorn, Cadnam
The Spotted Cow, Chichester
The Star, Petworth
The Three Horseshoes, Laleham
The Tudor Tavern, East Preston
The Viaduct, Hanwell
The Vine, Freshwater
The Volunteer, Theale
The Wheatsheaf, Slough
The White Hart, Harlington
The White Horse, Harrow on the Hill
The White Horse, Emsworth
The White Swan, Whitchurch
The Windsor Castle, Gosport
The Wych Elm, Kingston
The Wyvern, Lee on Solent
Ye Whyte Harte, Southampton
